observer,trial,x,y,dur,onset,offset,n
1,175,952.4,774.2,38,233,2179463,2
1,175,768,662.5,131,307,2179630,3
1,175,730.2,671.8,508,460,2180160,4
1,176,954.2,552.7,1197,-1009,2184181,1
1,176,1162.7,664.9,157,225,2184375,2
1,176,1195.1,672,492,401,2184886,3
1,177,959.8,557.8,1217,-1019,2188891,1
1,177,939.2,313.3,139,268,2189100,2
1,177,948.9,298.1,535,419,2189647,3
1,178,956.6,551.3,1203,-1010,2193653,1
1,178,961.7,316.7,790,232,2194482,2
1,179,960.9,548.2,239,-239,2197836,1
1,179,954.7,540.7,952,11,2198799,2
1,179,740,426.9,718,1004,2199558,3
1,180,953.5,546.4,1195,-1012,2203694,1
1,180,710.6,526.2,91,224,2203826,2
1,180,764.3,418.3,139,340,2203990,3
1,180,748.3,430.9,479,497,2204487,4
1,181,951.3,552.3,1219,-1014,2217051,1
1,181,940.8,309,710,247,2217803,2
1,182,972.6,554.3,1194,-1014,2221976,1
1,182,956.2,801,586,218,2222600,2
1,183,970.2,546.5,1205,-1013,2226805,1
1,184,956.9,553.4,265,-265,2230733,1
1,184,958.9,538.4,922,9,2231664,2
1,184,1178.3,432.6,789,967,2232489,3
1,185,965.3,546.8,1191,-1021,2236084,1
1,185,1031.5,316.2,117,208,2236239,2
1,185,954,300,615,351,2236880,3
1,186,962.7,557.3,49,-49,2240300,1
1,186,964.2,540.1,1148,11,2241459,2
1,187,960.5,554.9,295,-295,2245039,1
1,187,960.4,542.2,887,14,2245940,2
1,187,818.6,343.4,128,937,2246104,3
1,187,746.3,412.5,612,1090,2246741,4
1,188,966.6,546.2,189,-189,2250225,1
1,188,966.6,529.5,1006,14,2251245,2
1,188,752.6,431.1,144,1053,2251422,3
1,188,734.7,429.3,475,1216,2251916,4
1,189,953.5,544.2,1191,-1014,2255927,1
1,189,704.6,525,94,217,2256061,2
1,189,740.6,425.7,666,337,2256753,3
1,190,973.5,538.1,312,-312,2259966,1
1,190,957.6,539.1,887,7,2260860,2
1,190,959.1,801.7,758,931,2261655,3
1,191,951.1,551.7,199,-199,2264937,1
1,191,961.9,543.1,1010,15,2265962,2
1,192,957.2,537.6,1176,-1009,2270801,1
1,192,769.3,409.8,124,201,2270959,2
1,192,731.2,422.8,676,348,2271658,3
1,193,962.3,551.2,1209,-1013,2276564,1
1,193,758.5,434.9,117,233,2276718,2
1,193,731.1,428,583,369,2277320,3
1,194,957.5,541.7,1213,-1013,2282618,1
1,194,957.2,293.9,691,300,2283409,2
1,195,958.1,548.2,229,-229,2286679,1
1,195,962.6,503.6,163,18,2286860,2
1,195,960,538.8,797,189,2287665,3
1,195,1161.6,684.9,116,1025,2287820,4
1,195,1179,678.7,662,1161,2288502,5
1,196,970.2,552,1187,-1014,2292226,1
1,196,1033,322.4,103,212,2292368,2
1,196,951.5,301.5,534,339,2292926,3
1,196,919.3,383.5,37,887,2292977,4
1,197,965,544.2,262,-262,2296313,1
1,197,965.1,545.2,948,9,2297270,2
1,197,1075.1,757.5,72,997,2297382,3
1,197,961.3,290.8,644,1124,2298081,4
1,198,959.9,557.3,225,-225,2301445,1
1,198,959.4,552.9,985,10,2302440,2
1,199,958.8,559.5,1196,-1015,2306986,1
1,199,1074.1,360,733,222,2307760,2
1,200,953.9,548.8,241,-241,2311066,1
1,200,949,538.9,937,11,2312014,2
1,200,1066,701.6,85,982,2312133,3
1,200,1166.3,675.4,557,1093,2312716,4
1,201,957.5,551.9,1198,-1013,2316824,1
1,201,737.7,673.6,407,236,2317282,2
1,202,966.7,554,1190,-1017,2321766,1
1,202,725.5,666.2,590,216,2322399,2
1,203,962.7,542.8,1212,-1022,2326447,1
1,203,739.8,648.9,161,237,2326655,2
1,203,732.6,669.9,360,406,2327023,3
1,204,970.6,553.3,200,-200,2330106,1
1,204,968,540.7,985,9,2331100,2
1,204,752.7,658.3,170,1036,2331312,3
1,204,738.2,673.7,437,1224,2331767,4
1,205,953.5,546.6,1209,-1010,2335823,1
1,205,856.5,730.2,51,239,2335914,2
1,205,1182.5,427.2,583,349,2336556,3
1,206,964.5,544.4,1177,-1009,2340859,1
1,206,1166,619.1,108,205,2341004,2
1,206,1172.5,679.9,611,337,2341639,3
1,207,952.9,545.1,1202,-1015,2345779,1
1,207,1054.2,757.1,104,237,2345933,2
1,207,948.2,344.6,104,389,2346085,3
1,207,958.2,313.3,437,518,2346547,4
1,208,951.4,550.4,1210,-1005,2350697,1
1,208,940.8,814,734,241,2351467,2
1,209,956.6,555.8,1234,-1013,2360380,1
1,209,731.5,686.3,572,259,2360990,2
1,211,953.1,546.7,1223,-1019,2370414,1
1,211,961.6,806.4,708,244,2371162,2
1,212,952.8,553.3,1193,-1012,2375309,1
1,212,1141.8,670.5,122,214,2375464,2
