observer,trial,x,y,dur,n
98,253,965.1,296.6,404,2
98,254,962.8,541.5,1192,1
98,254,974.1,797.4,292,2
98,255,958.9,543.2,1188,1
98,255,1208.3,686.7,556,2
98,256,969.4,545.6,464,1
98,256,953.8,546.1,728,2
98,256,963.3,309,248,3
98,257,958.6,546.4,1222,1
98,257,745.7,505.5,94,2
98,257,975.8,301.5,380,3
98,258,962.9,546.2,1188,1
98,258,970.5,807.6,510,2
98,259,961.6,539.3,1186,1
98,259,981.1,797.2,458,2
98,260,965.5,544.1,1212,1
98,260,1208.5,664.1,428,2
98,261,957.7,546.4,672,1
98,261,966.3,542,538,2
98,261,1088.4,387.7,132,3
98,261,765.5,444.9,142,4
98,261,737.4,426,712,5
98,262,965.9,542.7,1206,1
98,262,1191.2,459.1,536,2
98,263,963.7,542.3,1194,1
98,263,1201.3,676.3,480,2
98,264,959,545.1,1210,1
98,264,1207.5,662.7,642,2
98,265,963.6,548.6,1192,1
98,265,953.3,793.6,326,2
98,266,963,547.2,1210,1
98,266,714.2,651.2,128,2
98,266,729.4,671.2,436,3
98,267,959.2,548.6,1210,1
98,267,1052.5,344.5,100,2
98,267,962.6,312.2,468,3
98,268,959.5,543.3,1210,1
98,268,737.4,424.4,376,2
98,269,962.5,545.2,1228,1
98,269,959.8,794.3,714,2
98,270,958.5,548.1,1210,1
98,270,1102.7,778.2,194,2
98,270,964.4,341.2,134,3
98,270,960.8,304.9,796,4
98,270,1035.9,526.7,476,5
98,270,963,539.1,826,6
98,270,969,543.1,536,7
98,270,961.4,549.8,1200,8
98,270,1095.2,767.9,96,9
98,270,1171.8,412.8,226,10
98,270,1190.4,424,342,11
98,270,1067.5,598.7,190,12
98,271,961.4,549.8,1200,1
98,271,1095.2,767.9,96,2
98,271,1171.8,412.8,226,3
98,271,1190.4,424,342,4
98,271,1067.5,598.7,190,5
98,271,1008.2,565.2,774,6
98,271,967.2,547.9,1190,7
98,271,726.4,429.5,444,8
98,272,967.2,547.9,1190,1
98,272,726.4,429.5,444,2
98,272,1027,575.9,446,3
98,272,1067.4,536.9,142,4
98,272,963,549,1282,5
98,272,1193.9,687.9,364,6
98,272,1199.9,694.6,532,7
98,273,963,549,1282,1
98,273,1193.9,687.9,364,2
98,273,1199.9,694.6,532,3
98,273,1060.4,598.6,122,4
98,273,962.7,548.7,1206,5
98,273,953.4,286.1,300,6
98,274,962.7,548.7,1206,1
98,274,953.4,286.1,300,2
98,274,1037.4,594.9,400,3
98,274,960.5,547.3,1182,4
98,274,729.9,670.7,524,5
98,275,960.5,547.3,1182,1
98,275,729.9,670.7,524,2
98,275,1028.4,586.7,176,3
98,275,961,548.4,1200,4
98,275,733.8,431.6,436,5
98,276,961,548.4,1200,1
98,276,733.8,431.6,436,2
98,276,961.8,533.4,194,3
98,276,956.5,545.1,1190,4
98,276,966.2,812.3,434,5
98,277,956.5,545.1,1190,1
98,277,966.2,812.3,434,2
98,277,956.6,576,194,3
98,277,962.4,552.6,1194,4
98,277,1184.7,685.4,498,5
98,278,962.4,552.6,1194,1
98,278,1184.7,685.4,498,2
98,278,1048.7,563.4,154,3
98,278,963,545.6,1208,4
98,278,1188.8,426.1,412,5
98,279,963,545.6,1208,1
98,279,1188.8,426.1,412,2
98,279,979,585.3,392,3
98,279,966.3,543.4,376,4
98,279,944.8,544.6,308,5
98,279,958.1,543.2,486,6
98,279,745,449.1,364,7
98,280,966.3,543.4,376,1
98,280,944.8,544.6,308,2
98,280,958.1,543.2,486,3
98,280,745,449.1,364,4
98,280,1123.5,587.3,180,5
98,280,1028.1,553.4,110,6
98,280,960.6,551.9,1190,7
98,280,730.7,419.8,332,8
98,281,960.6,551.9,1190,1
98,281,730.7,419.8,332,2
98,281,1033.5,583.4,456,3
98,281,963.1,549.3,1194,4
98,281,722.4,661.7,378,5
98,282,963.1,549.3,1194,1
98,282,722.4,661.7,378,2
98,282,1041.1,554.4,302,3
98,282,959.4,550.2,1190,4
98,282,1205,684.1,374,5
98,283,959.4,550.2,1190,1
98,283,1205,684.1,374,2
98,283,988.5,589.5,312,3
98,283,962.9,540.9,1238,4
98,283,1167.9,420.9,184,5
98,283,1195.1,429.9,340,6
98,284,962.9,540.9,1238,1
98,284,1167.9,420.9,184,2
98,284,1195.1,429.9,340,3
98,284,1014.6,525.2,194,4
98,284,957.2,543.5,1222,5
98,284,986.8,795.3,166,6
98,284,950.3,808.1,234,7
98,285,957.2,543.5,1222,1
98,285,986.8,795.3,166,2
98,285,950.3,808.1,234,3
98,285,980.4,564.1,180,4
98,285,962.8,550.3,1202,5
98,285,735.5,666.6,318,6
98,286,962.8,550.3,1202,1
98,286,735.5,666.6,318,2
98,286,1040.2,555.2,340,3
98,286,956.1,545.7,1198,4
98,286,1222.9,532.1,158,5
98,287,956.1,545.7,1198,1
98,287,1222.9,532.1,158,2
98,287,1194.8,447.9,1028,3
98,287,1094.3,493.2,232,4
98,287,1131.7,533.9,604,5
98,287,1149.4,539.1,494,6
98,287,1123.5,538.5,226,7
98,287,1122,553.2,456,8
98,287,1186.6,538.4,210,9
98,287,963.1,537.1,1200,10
98,287,955.2,823.2,328,11
98,288,963.1,537.1,1200,1
98,288,955.2,823.2,328,2
98,288,1002.7,568.7,306,3
