observer,trial,x,y,dur,onset,n
1,256,956.4,529.7,1004,0,1
1,256,961,530,166,258,2
1,256,762.2,632.2,190,488,3
1,257,964.2,545,1350,0,1
1,258,959.1,540.6,1242,0,1
1,259,966.6,546.3,1248,0,1
1,260,974.8,534.6,1236,0,1
1,260,789.3,454.7,140,178,2
1,261,968.6,531.1,1240,0,1
1,262,963.8,549.4,1368,0,1
1,263,971.6,530.1,4,0,1
1,263,963.9,546.2,340,346,2
1,263,993,564.7,184,736,3
1,263,964.6,538.1,424,1168,4
1,263,759.2,453.4,224,1432,5
1,264,967.1,531,1272,0,1
1,264,1177.6,618.8,316,352,2
1,265,976.9,544.3,1284,0,1
1,266,975.4,542.8,1314,0,1
1,267,972.9,546.2,1252,0,1
1,267,1191.4,528.6,86,132,2
1,268,976.1,537,1230,0,1
1,268,1063.8,387.3,156,196,2
1,269,973.2,544.1,1164,0,1
1,269,762.4,620.5,146,184,2
1,270,973.9,546.4,1240,0,1
1,270,791.8,465.6,140,178,2
1,271,972.4,536.7,400,0,1
1,271,973.5,544,648,854,2
1,271,1129.3,489.6,132,1022,3
1,272,970.1,552.5,1290,0,1
1,272,1189.3,626.2,180,214,2
1,273,968.3,548.7,1280,0,1
1,273,978.5,392.2,114,154,2
1,274,971.7,543.8,1214,0,1
1,275,978.5,542,1098,0,1
1,275,874.5,704.3,120,168,2
1,276,972.9,543,1250,0,1
1,276,971.8,359.5,138,182,2
1,277,972.3,546.5,254,0,1
1,277,973.7,537.8,808,970,2
1,277,771.1,463.2,144,1156,3
1,278,968.5,553.8,1244,0,1
1,278,799.1,472.3,148,178,2
1,279,972.7,547.3,1156,0,1
1,279,1190.3,553.1,128,162,2
1,280,977.7,550.2,310,0,1
1,280,978.6,547.1,758,952,2
1,280,790.8,471.7,172,1158,3
1,281,967.6,558.3,1250,0,1
1,281,881.9,422.5,132,170,2
1,281,761.4,655.8,592,804,3
1,282,982.9,531.7,564,0,1
1,282,979.5,498.1,302,316,2
1,282,969.4,525.6,302,628,3
1,282,1180.3,645.8,250,916,4
1,283,970.8,528.1,668,0,1
1,283,971.6,434.1,318,352,2
1,283,968.3,474,226,594,3
1,284,974.3,542.7,1388,0,1
1,285,971.4,546.8,1220,0,1
1,286,980.7,538.3,1354,0,1
1,287,973.5,539.9,1342,0,1
1,287,773.6,443.9,240,280,2
1,288,978.9,543.9,1262,0,1
1,288,836.1,493.9,126,152,2
1,289,979.3,530.1,1282,0,1
1,290,974.6,539.7,1354,0,1
1,291,977.5,546.6,1366,0,1
1,291,988,719.9,166,194,2
1,292,972.4,546.5,1336,0,1
1,293,975,543,1074,0,1
1,293,782.3,456.3,170,212,2
1,294,978.5,547.4,476,0,1
1,294,975.4,547.7,576,810,2
1,294,999.2,734.8,178,1024,3
1,295,973.2,553.1,1262,0,1
1,295,771.8,625.6,192,234,2
1,296,970.4,559.7,328,0,1
1,296,971.1,548.2,764,1000,2
1,297,984.7,551.2,1272,0,1
1,298,979.3,543.6,350,0,1
1,298,978.7,547.2,744,940,2
1,299,975.1,543.7,1286,0,1
1,299,807.1,473.3,138,168,2
1,300,976.7,545.1,1204,0,1
1,300,1184.8,635.9,232,270,2
1,301,940.6,509.3,464,0,1
1,301,947.1,528,606,756,2
1,301,773.2,449.8,186,974,3
