"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"5",44,13.2,1.89999999999998,404,0,1,"c","centre"
"5",44,19.2,61.2,192,210,2,"c","centre"
"5",44,5.29999999999995,19.6,578,802,3,"c","centre"
"5",45,15,-8.5,278,0,1,"c","centre"
"5",45,12.6,-8.10000000000002,854,984,2,"c","centre"
"5",45,189.6,-26.9,210,1226,3,"d1","distracter"
"5",45,-4.29999999999995,183.5,148,1422,4,"3","target"
"5",45,-18,218.1,418,1854,5,"3","target"
"5",45,-99.5,-55.3,150,2052,6,"0","blank"
"5",46,8.5,-4.79999999999995,492,0,1,"c","centre"
"5",46,20.7,8.10000000000002,672,786,2,"c","centre"
"5",46,-100.3,-204.4,154,994,3,"d5","distracter"
"5",47,10.7,-13.8,364,0,1,"c","centre"
"5",47,12.1,-9.79999999999995,186,300,2,"c","centre"
"5",47,-6.10000000000002,138.4,304,630,3,"0","blank"
"5",47,28.8,45.8,148,802,4,"c","centre"
"5",47,161.8,-122.2,196,1026,5,"1","target"
"5",47,203.2,-143.2,122,1162,6,"1","target"
"5",48,14.8,-5.79999999999995,308,0,1,"c","centre"
"5",48,48.6,1.20000000000005,190,314,2,"c","centre"
"5",48,49.8,28.5,258,586,3,"c","centre"
"5",48,71.2,2.39999999999998,362,958,4,"c","centre"
"5",48,37.1,-189.6,122,1116,5,"6","target"
"5",49,26.8,-1.10000000000002,380,0,1,"c","centre"
"5",49,64.0999999999999,4.39999999999998,228,244,2,"c","centre"
"5",49,28.6,2.60000000000002,544,798,3,"c","centre"
"5",49,-97.7,-103.9,186,1022,4,"0","blank"
"5",50,11.2,-4.20000000000005,546,0,1,"c","centre"
"5",50,-2.60000000000002,-9.20000000000005,308,438,2,"c","centre"
"5",50,26.4,4.20000000000005,192,646,3,"c","centre"
"5",50,-159.3,108.4,168,842,4,"4","target"
"5",51,54.8,10.1,456,0,1,"c","centre"
"5",51,104.2,9,170,184,2,"0","blank"
"5",51,29.7,5.79999999999995,534,736,3,"c","centre"
"5",51,-144.3,-69.5,126,910,4,"5","target"
"5",52,27.3,-1.79999999999995,374,0,1,"c","centre"
"5",52,11.1,10.8,178,298,2,"c","centre"
"5",52,23.9,5.5,586,894,3,"c","centre"
