"observer","trial","x","y","dur","onset","offset","n","aoi2","aoi"
"3",150,-5.60000000000002,-211.7,114,1273,6878119,2,"target","6"
"3",150,-10.1,-242.9,598,1408,6878738,3,"target","6"
"3",151,-22.9,1.20000000000005,401,0,7352643,1,"-","c"
"3",151,11.1,21.6,267,538,7353047,2,"-","c"
"3",152,-38.2,-7.20000000000005,605,0,7438221,1,"centre","c"
"3",152,-33.7,-37.5,129,720,7438465,2,"centre","c"
"3",152,-28.6,-10.6,271,862,7438749,3,"centre","c"
"3",152,-3.89999999999998,123.1,106,1167,7438889,4,"blank","0"
"3",152,44.4,243.9,139,1301,7439056,5,"target","3"
"3",152,102.9,240.6,108,1457,7439181,6,"distracter","d2"
"3",152,-46.5,270.3,170,1591,7439377,7,"target","3"
"3",152,-23.1,268.5,469,1769,7439854,8,"target","3"
"3",153,-29,-3.79999999999995,326,0,7445231,1,"centre","c"
"3",153,-31.1,39.5,110,346,7445361,2,"centre","c"
"3",153,-28.3,-3.5,771,471,7446147,3,"centre","c"
"3",153,-29.3,-239.5,580,1279,7446764,4,"target","6"
"3",154,-27.4,-7.70000000000005,1164,0,7463354,1,"centre","c"
"3",154,22,129.1,112,1192,7463494,2,"blank","0"
"3",154,-11.3,176.8,20,1327,7463537,3,"blank","3"
"3",154,-217,140.6,105,1379,7463674,4,"target","4"
"3",154,-260.5,132.1,492,1505,7464187,5,"target","4"
"3",155,-25.6,-0.399999999999977,1221,0,7470346,1,"centre","c"
"3",155,137.3,92.9,88,1260,7470473,2,"target","2"
"3",155,200.1,129.5,409,1367,7470901,3,"target","2"
"3",156,-26.2,-9,1202,0,7476227,1,"centre","c"
"3",156,-183,-134.6,132,1239,7476396,2,"target","5"
"3",156,-252,-112.8,504,1388,7476917,3,"target","5"
"3",157,-25.9,-9.60000000000002,1251,0,7481848,1,"centre","c"
"3",157,1,190.9,85,1290,7481972,2,"target","3"
"3",157,-19.5,253.6,419,1396,7482412,3,"target","3"
"3",158,-25.8,-7,1215,0,7487391,1,"centre","c"
"3",158,162.6,-21.1,88,1242,7487506,2,"distracter","d1"
"3",158,-250.9,-115.2,576,1377,7488129,3,"target","5"
"3",159,-27.5,-7.70000000000005,1248,0,7493367,1,"centre","c"
"3",159,-248,-132.4,592,1290,7494001,2,"target","5"
"3",160,-29.7,-7.70000000000005,1276,0,7499129,1,"centre","c"
"3",160,-248.1,-118.6,389,1314,7499556,2,"target","5"
"3",161,-31.8,-13.1,1217,0,7504522,1,"centre","c"
"3",161,-218.2,-102.9,110,1245,7504660,2,"target","5"
"3",161,-246.5,-123.4,388,1370,7505063,3,"target","5"
"3",162,-23.8,-9.79999999999995,1217,0,7509545,1,"centre","c"
"3",162,169,96.7,132,1258,7509718,2,"target","2"
"3",162,197,120.2,432,1405,7510165,3,"target","2"
"3",163,-30.5,-8.60000000000002,1163,0,7515675,1,"centre","c"
"3",163,28.1,114.7,122,1187,7515821,2,"blank","0"
"3",163,196.5,132.6,435,1336,7516283,3,"target","2"
"3",164,-27.4,-8.5,1161,0,7521712,1,"centre","c"
"3",164,-191.9,-11.7,102,1198,7521851,2,"distracter","d4"
"3",164,187.4,-111.1,409,1347,7522307,3,"target","1"
"3",165,-27.5,-5.89999999999998,1198,0,7527191,1,"centre","c"
"3",165,-127.6,161.3,90,1236,7527319,2,"distracter","d3"
"3",165,-173.2,191.9,97,1343,7527433,3,"distracter","d3"
"3",165,-238,132.5,292,1464,7527749,4,"target","4"
"3",166,-29.9,-13.9,1171,0,7531988,1,"centre","c"
"3",166,191.7,-120.5,644,1208,7532669,2,"target","1"
"3",167,-25.3,-5.70000000000005,131,0,7536459,1,"centre","c"
"3",167,-25.7,-9.20000000000005,913,250,7537491,2,"centre","c"
"3",167,-231.2,2.10000000000002,98,1200,7537626,3,"distracter","d4"
"3",167,-279.8,22.1,64,1312,7537704,4,"distracter","d4"
